TPR,FPR
0.01,0.0
0.01,0.0
0.01,0.0
0.01,0.0
0.01,0.0
0.01,0.0
0.01,0.0
0.03,0.0
0.05,0.0
0.06,0.0
0.09,0.0
0.09,0.0
0.12,0.0
0.16,0.0
0.18,0.0
0.21,0.0
0.28,0.0
0.34,0.0
0.4,0.0
0.44,0.0
0.45,0.0
0.46,0.0
0.47,0.0
0.51,0.0
0.52,0.0
0.54,0.0
0.54,0.0
0.57,0.0
0.57,0.01
0.61,0.02
0.64,0.02
0.66,0.02
0.68,0.04
0.71,0.06
0.74,0.06
0.76,0.07
0.79,0.1
0.81,0.11
0.81,0.12
0.87,0.15
0.9,0.16
0.91,0.17
0.91,0.19
0.92,0.2
0.92,0.21
0.93,0.23
0.94,0.27
0.94,0.29
0.94,0.32
0.94,0.33
0.95,0.34
0.95,0.35
0.96,0.36
0.96,0.39
0.96,0.44
0.97,0.46
0.97,0.46
0.97,0.46
0.98,0.47
0.98,0.49
0.98,0.53
0.98,0.55
0.98,0.59
0.98,0.59
0.98,0.6
0.98,0.62
0.99,0.64
0.99,0.69
0.99,0.69
0.99,0.73
0.99,0.75
0.99,0.76
0.99,0.78
0.99,0.79
0.99,0.8
0.99,0.81
0.99,0.82
0.99,0.83
0.99,0.87
0.99,0.88
0.99,0.89
0.99,0.9
0.99,0.9
0.99,0.9
0.99,0.9
0.99,0.9
0.99,0.9
0.99,0.94
0.99,0.95
0.99,0.95
0.99,0.95
